Angle,LDR Value_1
0,58
1,58
2,58
3,58
4,58
5,58
6,59
7,59
8,59
9,60
10,60
11,60
12,61
13,61
14,62
15,62
16,63
17,63
18,64
19,65
20,65
21,66
22,67
23,67
24,68
25,69
26,70
27,71
28,72
29,73
30,73
31,74
32,75
33,76
34,77
35,78
36,79
37,80
38,82
39,83
40,84
41,85
42,86
43,87
44,88
45,89
46,90
47,91
48,92
49,93
50,94
51,95
52,96
53,98
54,99
55,100
56,101
57,102
58,103
59,104
60,105
61,105
62,106
63,107
64,108
65,109
66,110
67,111
68,111
69,112
70,113
71,113
72,114
73,115
74,115
75,116
76,116
77,117
78,117
79,118
80,118
81,118
82,119
83,119
84,119
85,120
86,120
87,120
88,120
89,120
90,120
91,120
92,120
93,120
94,120
95,120
96,119
97,119
98,119
99,118
100,118
101,118
102,117
103,117
104,116
105,116
106,115
107,115
108,114
109,113
110,113
111,112
112,111
113,111
114,110
115,109
116,108
117,107
118,106
119,105
120,105
121,104
122,103
123,102
124,101
125,100
126,99
127,98
128,96
129,95
130,94
131,93
132,92
133,91
134,90
135,89
136,88
137,87
138,86
139,85
140,84
141,83
142,82
143,80
144,79
145,78
146,77
147,76
148,75
149,74
150,73
151,73
152,72
153,71
154,70
155,69
156,68
157,67
158,67
159,66
160,65
161,65
162,64
163,63
164,63
165,62
166,62
167,61
168,61
169,60
170,60
171,60
172,59
173,59
174,59
175,58
176,58
177,58
178,58
179,58
180,58
181,58
182,58
183,58
184,58
185,58
186,59
187,59
188,59
189,60
190,60
191,60
192,61
193,61
194,62
195,62
196,63
197,63
198,64
199,65
200,65
201,66
202,67
203,67
204,68
205,69
206,70
207,71
208,72
209,73
210,73
211,74
212,75
213,76
214,77
215,78
216,79
217,80
218,82
219,83
220,84
221,85
222,86
223,87
224,88
225,89
226,90
227,91
228,92
229,93
230,94
231,95
232,96
233,98
234,99
235,100
236,101
237,102
238,103
239,104
240,105
241,105
242,106
243,107
244,108
245,109
246,110
247,111
248,111
249,112
250,113
251,113
252,114
253,115
254,115
255,116
256,116
257,117
258,117
259,118
260,118
261,118
262,119
263,119
264,119
265,120
266,120
267,120
268,120
269,120
270,120
271,120
272,120
273,120
274,120
275,120
276,119
277,119
278,119
279,118
280,118
281,118
282,117
283,117
284,116
285,116
286,115
287,115
288,114
289,113
290,113
291,112
292,111
293,111
294,110
295,109
296,108
297,107
298,106
299,105
300,105
301,104
302,103
303,102
304,101
305,100
306,99
307,98
308,96
309,95
310,94
311,93
312,92
313,91
314,90
315,89
316,88
317,87
318,86
319,85
320,84
321,83
322,82
323,80
324,79
325,78
326,77
327,76
328,75
329,74
330,73
331,73
332,72
333,71
334,70
335,69
336,68
337,67
338,67
339,66
340,65
341,65
342,64
343,63
344,63
345,62
346,62
347,61
348,61
349,60
350,60
351,60
352,59
353,59
354,59
355,58
356,58
357,58
358,58
359,58
360,58
361,58
362,58
363,58
364,58
365,58
366,59
367,59
368,59
369,60
370,60
371,60
372,61
373,61
374,62
375,62
376,63
377,63
378,64
379,65
380,65
381,66
382,67
383,67
384,68
385,69
386,70
387,71
388,72
389,73
390,73
391,74
392,75
393,76
394,77
395,78
396,79
397,80
398,82
399,83
400,84
401,85
402,86
403,87
404,88
405,89
406,90
407,91
408,92
409,93
410,94
411,95
412,96
413,98
414,99
415,100
416,101
417,102
418,103
419,104
420,105
421,105
422,106
423,107
424,108
425,109
426,110
427,111
428,111
429,112
430,113
431,113
432,114
433,115
434,115
435,116
436,116
437,117
438,117
439,118
440,118
441,118
442,119
443,119
444,119
445,120
446,120
447,120
448,120
449,120
450,120
451,120
452,120
453,120
454,120
455,120
456,119
457,119
458,119
459,118
460,118
461,118
462,117
463,117
464,116
465,116
466,115
467,115
468,114
469,113
470,113
471,112
472,111
473,111
474,110
475,109
476,108
477,107
478,106
479,105
480,105
481,104
482,103
483,102
484,101
485,100
486,99
487,98
488,96
489,95
490,94
491,93
492,92
493,91
494,90
495,89
496,88
497,87
498,86
499,85
500,84
501,83
502,82
503,80
504,79
505,78
506,77
507,76
508,75
509,74
510,73
511,73
512,72
513,71
514,70
515,69
516,68
517,67
518,67
519,66
520,65
521,65
522,64
523,63
524,63
525,62
526,62
